운동명,설명(Desc),카테고리,타겟 부위,필요장비,난이도,10분당 소모 칼로리(kcal),한 줄 설명
푸시업(팔굽혀펴기),엎드린 상태에서 팔을 굽혀 상체를 내렸다 올리는 운동,무산소,가슴,맨몸,중,45,가슴과 상체 전반을 키우는 가장 대표적인 맨몸 운동
니 푸시업,무릎을 바닥에 대고 진행하는 쉬운 버전의 푸시업,무산소,가슴,맨몸,초,35,근력이 부족한 초보자를 위한 상체 운동
체스트 프레스,머신에 앉아 손잡이를 가슴 앞으로 밀어내는 운동,무산소,가슴,머신,초,50,초보자가 헬스장에서 가슴 근육을 키우기 가장 좋은 기구
펙덱 플라이,양팔을 벌린 상태에서 가슴 중앙으로 모아주는 운동,무산소,가슴,머신,초,45,가슴 안쪽 라인을 뚜렷하게 모아주는 기구 운동
벤치 프레스,벤치에 누워 바벨을 가슴 위로 밀어 올리는 운동,무산소,가슴,바벨/벤치,고,70,상체 운동의 꽃이라 불리는 가슴 전체 근력 강화 운동
랫풀다운,머신에 앉아 바를 가슴 쪽으로 끌어내리는 운동,무산소,등,머신,초,60,넓은 등과 직각 어깨를 만들어주는 헬스장 필수 기구
시티드 로우,머신에 앉아 손잡이를 배꼽 쪽으로 당기는 운동,무산소,등,머신/케이블,초,60,등 중앙부를 두툼하게 채워 굽은 등을 펴주는 운동
풀업(턱걸이),철봉에 매달려 턱이 바에 닿을 때까지 몸을 당기는 운동,무산소,등,철봉,고,93,상체 프레임을 가장 확실하게 넓혀주는 맨몸 운동
어시스트 풀업,무게추의 도움을 받아 쉽게 턱걸이를 할 수 있는 머신,무산소,등,머신,초,60,초보자도 턱걸이 자극을 느낄 수 있는 기구
바벨 로우,상체를 45도 숙인 상태에서 바벨을 배 쪽으로 당기는 운동,무산소,등,바벨,중,75,등 전체의 두께감과 코어 힘을 동시에 기르는 프리웨이트
데드리프트,바닥에 놓인 바벨을 허리와 하체 힘으로 들어 올리는 운동,무산소,전신,바벨,고,93,전신 근력과 후면 사슬을 한 번에 발달시키는 운동
백 익스텐션,기구에 엎드려 상체를 들어 올리며 허리를 수축하는 운동,무산소,등,머신,초,45,척추기립근을 강화하여 허리 통증을 예방하는 운동
사이드 래터럴 레이즈,양손에 덤벨을 들고 양옆으로 들어 올리는 운동,무산소,어깨,덤벨,초,45,어깨 측면 볼륨을 키워 어깨를 넓어 보이게 하는 필수 운동
덤벨 숄더 프레스,덤벨을 양손에 들고 머리 위로 밀어 올리는 운동,무산소,어깨,덤벨,중,60,어깨 전체의 크기와 근력을 키우는 다관절 운동
프론트 레이즈,덤벨을 몸통 앞으로 들어 올리는 운동,무산소,어깨,덤벨,초,45,어깨 전면부를 자극하는 운동
덤벨 컬,양손에 덤벨을 들고 팔꿈치를 접어 이두근을 수축하는 운동,무산소,팔,덤벨,초,45,가장 대중적으로 팔뚝(이두근)을 키우는 운동
케이블 푸시다운,케이블 바를 밑으로 강하게 눌러 삼두근을 수축하는 운동,무산소,팔,케이블 머신,초,45,팔뚝살(삼두근)을 정리하고 탄력 있게 만드는 기구 운동
킥백,상체를 숙인 채 덤벨을 뒤로 뻗어 팔 뒷부분을 펴는 운동,무산소,팔,덤벨,초,45,가벼운 무게로 팔 뒷살을 빼는 데 효과적인 운동
크런치,누워서 윗몸만 살짝 일으켜 상복부를 수축하는 운동,무산소,코어,맨몸,초,35,허리 부담 없이 윗몸일으키기 효과를 내는 복근 운동
레그 레이즈,누운 상태에서 두 다리를 위아래로 올렸다 내리는 운동,무산소,코어,맨몸,초,40,아랫뱃살을 빼고 하복부를 탄탄하게 만드는 운동
플랭크,팔꿈치와 발끝으로 몸을 지탱하고 일자로 버티는 운동,무산소,코어,맨몸,초,40,복근과 허리 등 신체 중심부(코어)를 단련하는 최고의 버티기
러시안 트위스트,앉은 자세에서 상체를 살짝 젖히고 좌우로 비트는 운동,무산소,코어,맨몸,초,45,옆구리 살을 정리하고 11자 복근을 만드는 운동
마운틴 클라이머,엎드린 상태에서 양 다리를 번갈아 가슴 쪽으로 차올리는 운동,유산소,전신,맨몸,중,93,복근 자극과 유산소 효과를 동시에 얻는 홈트
버피 테스트,엎드렸다 일어나는 동작을 빠르게 반복하는 전신 운동,유산소,전신,맨몸,고,93,악마의 운동이라 불리는 홈트 최강의 칼로리 소모 운동
슬로우 버피,버피 테스트를 뛰지 않고 한 발씩 천천히 뻗었다 걷는 운동,유산소,전신,맨몸,초,60,층간소음 없이 안전하게 집에서 할 수 있는 전신 유산소
폼롤러 스트레칭,원통형 도구를 이용해 뭉친 근육을 문질러 푸는 활동,스트레칭,전신,폼롤러,초,25,운동 전후 부상 방지 및 혈액순환을 돕는 필수 이완
전신 스트레칭,목부터 발목까지 관절과 근육을 부드럽게 늘려주는 활동,스트레칭,전신,맨몸,초,20,아침 기상 직후나 운동 전에 수행하는 가벼운 체조
요가,호흡과 함께 다양한 자세를 유지하며 심신을 수련하는 운동,스트레칭,전신,매트,초,30,유연성 증진과 스트레스 해소에 좋은 정적인 운동
필라테스,코어 근육을 중심으로 신체 밸런스를 잡는 운동,무산소,전신,매트/기구,중,45,자세 교정과 속근육을 단단하게 잡아주는 운동
계단 오르기(아파트),일상 생활 속 아파트나 건물의 계단을 걸어 오르는 활동,유산소,하체,맨몸,중,90,따로 시간 내지 않고 일상에서 실천할 수 있는 강력한 하체 운동
브릿지(힙업),누운 상태에서 골반을 하늘로 들어 올려 엉덩이를 수축하는 운동,무산소,하체,맨몸,초,35,허리가 약한 사람도 안전하게 할 수 있는 엉덩이 운동
케틀벨 스윙,케틀벨을 양손으로 잡고 다리 사이로 뺐다가 엉덩이 힘으로 튕기는 운동,무산소,전신,케틀벨,중,80,코어와 엉덩이 폭발력을 기르며 유산소 효과까지 있는 운동
AB 슬라이드,무릎을 꿇고 바퀴 달린 기구를 앞으로 밀었다 당기는 운동,무산소,코어,AB슬라이드,고,60,강력한 복근 텐션을 요구하는 기구 복근 운동
슈퍼맨 자세(맨몸 백익스텐션),엎드려 상체와 하체를 동시에 들어 올려 버티는 동작,무산소,코어,맨몸,초,35,척추기립근과 힙을 단련하는 맨몸 코어 운동
점핑잭(팔벌려뛰기),양팔과 다리를 벌렸다 오므리며 뛰는 전신 가벼운 운동,유산소,전신,맨몸,초,60,본 운동 전 체온을 높이고 워밍업하기 좋은 동작
